Bat species,Bat family,Continent,Country,Reference,Link,,,,,,,,,,,,,,,,,,,,,
Bauerus dubiaquercus,Vespertilionidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Ia io,Vespertilionidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Myotis californicus,Vespertilionidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Myotis longipes,Vespertilionidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Myotis myotis,Vespertilionidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Myotis velifer,Vespertilionidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Nyctalus plancyi,Vespertilionidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Pipistrellus pipistrellus,Vespertilionidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Scotophilus dinganii,Vespertilionidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Scotophilus leucogaster,Vespertilionidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
