Bat species,Bat family,Continent,Country,Reference,Link,,,,,,,,,,,,,,,,,,,,,
Myotis lucifugus,Vespertilionidae,America,Canada,Davy 2018 Sci Rep https://doi.org/10.1038/s41598-018-33975-x,https://doi.org/10.1038/s41598-018-33975-x,,,,,,,,,,,,,,,,,,,,,
Eptesicus serotinus,Vespertilionidae,Europe,Italy,De Benedictis 2013 Virus Genes https://doi.org/10.1007/s11262-013-1008-x,https://doi.org/10.1007/s11262-013-1008-x,,,,,,,,,,,,,,,,,,,,,
Myotis blythii,Vespertilionidae,Europe,Italy,De Benedictis 2013 Virus Genes https://doi.org/10.1007/s11262-013-1008-x,https://doi.org/10.1007/s11262-013-1008-x,,,,,,,,,,,,,,,,,,,,,
Pipistrellus kuhlii,Vespertilionidae,Europe,Italy,De Sabato 2018 Virus Research https://doi.org/10.1016/j.virusres.2018.11.007,https://doi.org/10.1016/j.virusres.2018.11.007,,,,,,,,,,,,,,,,,,,,,
Cynopterus brachyotis,Pteropodidae,Asia,Indonesia,Dharmayanti 2021 Journal of Veterinary Science https://doi.org/10.4142/jvs.2021.22.e70,https://doi.org/10.4142/jvs.2021.22.e70,,,,,,,,,,,,,,,,,,,,,
Macroglossus minimus,Pteropodidae,Asia,Indonesia,Dharmayanti 2021 Journal of Veterinary Science https://doi.org/10.4142/jvs.2021.22.e70,https://doi.org/10.4142/jvs.2021.22.e70,,,,,,,,,,,,,,,,,,,,,
Rousettus amplexicaudatus,Pteropodidae,Asia,Indonesia,Dharmayanti 2021 Journal of Veterinary Science https://doi.org/10.4142/jvs.2021.22.e70,https://doi.org/10.4142/jvs.2021.22.e70,,,,,,,,,,,,,,,,,,,,,
Eptesicus fuscus,Vespertilionidae,America,USA,Dominguez 2007 EID https://dx.doi.org/10.3201%2Feid1309.070491,https://dx.doi.org/10.3201%2Feid1309.070491,,,,,,,,,,,,,,,,,,,,,
Myotis occultus,Vespertilionidae,America,USA,Dominguez 2007 EID https://dx.doi.org/10.3201%2Feid1309.070491,https://dx.doi.org/10.3201%2Feid1309.070491,,,,,,,,,,,,,,,,,,,,,
Eptesicus fuscus,Vespertilionidae,America,USA,Donaldson 2010 Journal of Virology https://doi.org/10.1128/JVI.01255-10,https://doi.org/10.1128/JVI.01255-10,,,,,,,,,,,,,,,,,,,,,
Miniopterus schreibersii,Miniopteridae,Europe,Bulgaria,Drexler 2010 Journal of Virology https://doi.org/10.1128/JVI.00650-10,https://doi.org/10.1128/JVI.00650-10,,,,,,,,,,,,,,,,,,,,,
Rhinolophus blasii,Rhinolophidae,Europe,Bulgaria,Drexler 2010 Journal of Virology https://doi.org/10.1128/JVI.00650-10,https://doi.org/10.1128/JVI.00650-10,,,,,,,,,,,,,,,,,,,,,
Rhinolophus euryale,Rhinolophidae,Europe,Bulgaria,Drexler 2010 Journal of Virology https://doi.org/10.1128/JVI.00650-10,https://doi.org/10.1128/JVI.00650-10,,,,,,,,,,,,,,,,,,,,,
Rhinolophus ferrumequinum,Rhinolophidae,Europe,Bulgaria,Drexler 2010 Journal of Virology https://doi.org/10.1128/JVI.00650-10,https://doi.org/10.1128/JVI.00650-10,,,,,,,,,,,,,,,,,,,,,
Rhinolophus mehelyi,Rhinolophidae,Europe,Bulgaria,Drexler 2010 Journal of Virology https://doi.org/10.1128/JVI.00650-10,https://doi.org/10.1128/JVI.00650-10,,,,,,,,,,,,,,,,,,,,,
Nyctalus leisleri,Vespertilionidae,Europe,Bulgaria,Drexler 2010 Journal of Virology https://doi.org/10.1128/JVI.00650-10,https://doi.org/10.1128/JVI.00650-10,,,,,,,,,,,,,,,,,,,,,
Myotis myotis,Vespertilionidae,Europe,Germany,Drexler 2011 EID https://dx.doi.org/10.3201%2Feid1703.100526,https://dx.doi.org/10.3201%2Feid1703.100526,,,,,,,,,,,,,,,,,,,,,
Miniopterus fuliginosus,Miniopteridae,Asia,China,Du 2016 Sci China Life Sci https://doi.org/10.1007/s11427-016-5039-0,https://doi.org/10.1007/s11427-016-5039-0,,,,,,,,,,,,,,,,,,,,,
Miniopterus schreibersii,Miniopteridae,Europe,Spain,Falcon 2011 Archives of Virology https://doi.org/10.1007/s00705-011-1057-1,https://doi.org/10.1007/s00705-011-1057-1,,,,,,,,,,,,,,,,,,,,,
Eptesicus isabellinus,Vespertilionidae,Europe,Spain,Falcon 2011 Archives of Virology https://doi.org/10.1007/s00705-011-1057-1,https://doi.org/10.1007/s00705-011-1057-1,,,,,,,,,,,,,,,,,,,,,
Hypsugo savii,Vespertilionidae,Europe,Spain,Falcon 2011 Archives of Virology https://doi.org/10.1007/s00705-011-1057-1,https://doi.org/10.1007/s00705-011-1057-1,,,,,,,,,,,,,,,,,,,,,
Myotis blythii,Vespertilionidae,Europe,Spain,Falcon 2011 Archives of Virology https://doi.org/10.1007/s00705-011-1057-1,https://doi.org/10.1007/s00705-011-1057-1,,,,,,,,,,,,,,,,,,,,,
Myotis daubentonii,Vespertilionidae,Europe,Spain,Falcon 2011 Archives of Virology https://doi.org/10.1007/s00705-011-1057-1,https://doi.org/10.1007/s00705-011-1057-1,,,,,,,,,,,,,,,,,,,,,
Myotis myotis,Vespertilionidae,Europe,Spain,Falcon 2011 Archives of Virology https://doi.org/10.1007/s00705-011-1057-1,https://doi.org/10.1007/s00705-011-1057-1,,,,,,,,,,,,,,,,,,,,,
Nyctalus lasiopterus,Vespertilionidae,Europe,Spain,Falcon 2011 Archives of Virology https://doi.org/10.1007/s00705-011-1057-1,https://doi.org/10.1007/s00705-011-1057-1,,,,,,,,,,,,,,,,,,,,,
Pipistrellus kuhlii,Vespertilionidae,Europe,Spain,Falcon 2011 Archives of Virology https://doi.org/10.1007/s00705-011-1057-1,https://doi.org/10.1007/s00705-011-1057-1,,,,,,,,,,,,,,,,,,,,,
Pteropus alecto,Pteropodidae,Asia,Indonesia,Febriani 2018 IJTVBR https://doi.org/10.21157/ijtvbr.v3i2.12359,https://doi.org/10.21157/ijtvbr.v3i2.12359,,,,,,,,,,,,,,,,,,,,,
Myotis bechsteinii,Vespertilionidae,Europe,Germany,Fischer 2016 IGE https://doi.org/10.1016/j.meegid.2015.11.010,https://doi.org/10.1016/j.meegid.2015.11.010,,,,,,,,,,,,,,,,,,,,,
Myotis nattereri,Vespertilionidae,Europe,Germany,Fischer 2016 IGE https://doi.org/10.1016/j.meegid.2015.11.010,https://doi.org/10.1016/j.meegid.2015.11.010,,,,,,,,,,,,,,,,,,,,,
Pipistrellus nathusii,Vespertilionidae,Europe,Germany,Fischer 2016 IGE https://doi.org/10.1016/j.meegid.2015.11.010,https://doi.org/10.1016/j.meegid.2015.11.010,,,,,,,,,,,,,,,,,,,,,
Pipistrellus pygmaeus,Vespertilionidae,Europe,Germany,Fischer 2016 IGE https://doi.org/10.1016/j.meegid.2015.11.010,https://doi.org/10.1016/j.meegid.2015.11.010,,,,,,,,,,,,,,,,,,,,,
Hipposideros armiger,Hipposideridae,Asia,China,Ge 2012 Journal of Virology https://doi.org/10.1128/JVI.06671-11,https://doi.org/10.1128/JVI.06671-11,,,,,,,,,,,,,,,,,,,,,
Rhinolophus sinicus,Rhinolophidae,Asia,China,Ge 2013 Nature https://doi.org/10.1038/nature12711,https://doi.org/10.1038/nature12711,,,,,,,,,,,,,,,,,,,,,
Hipposideros pomona,Hipposideridae,Asia,China,Ge 2016 Virologica Sinica https://doi.org/10.1007/s12250-016-3713-9,https://doi.org/10.1007/s12250-016-3713-9,,,,,,,,,,,,,,,,,,,,,
Miniopterus fuliginosus,Miniopteridae,Asia,China,Ge 2016 Virologica Sinica https://doi.org/10.1007/s12250-016-3713-9,https://doi.org/10.1007/s12250-016-3713-9,,,,,,,,,,,,,,,,,,,,,
Miniopterus fuscus,Miniopteridae,Asia,China,Ge 2016 Virologica Sinica https://doi.org/10.1007/s12250-016-3713-9,https://doi.org/10.1007/s12250-016-3713-9,,,,,,,,,,,,,,,,,,,,,
Miniopterus schreibersii,Miniopteridae,Asia,China,Ge 2016 Virologica Sinica https://doi.org/10.1007/s12250-016-3713-9,https://doi.org/10.1007/s12250-016-3713-9,,,,,,,,,,,,,,,,,,,,,
Rhinolophus affinis,Rhinolophidae,Asia,China,Ge 2016 Virologica Sinica https://doi.org/10.1007/s12250-016-3713-9,https://doi.org/10.1007/s12250-016-3713-9,,,,,,,,,,,,,,,,,,,,,
Rhinolophus sinicus,Rhinolophidae,Asia,China,Ge 2016 Virologica Sinica https://doi.org/10.1007/s12250-016-3713-9,https://doi.org/10.1007/s12250-016-3713-9,,,,,,,,,,,,,,,,,,,,,
Miniopterus natalensis,Miniopteridae,Africa,South Africa,Geldenhuys 2013 VBZD https://doi.org/10.1089/vbz.2012.1101,https://doi.org/10.1089/vbz.2012.1101,,,,,,,,,,,,,,,,,,,,,
Mops midas,Molossidae,Africa,South Africa,Geldenhuys 2013 VBZD https://doi.org/10.1089/vbz.2012.1101,https://doi.org/10.1089/vbz.2012.1101,,,,,,,,,,,,,,,,,,,,,
Neoromicia capensis,Vespertilionidae,Africa,South Africa,Geldenhuys 2013 VBZD https://doi.org/10.1089/vbz.2012.1101,https://doi.org/10.1089/vbz.2012.1101,,,,,,,,,,,,,,,,,,,,,
Neoromicia capensis,Vespertilionidae,Africa,South Africa,Geldenhuys 2018 PLoS ONE https://dx.doi.org/10.1371%2Fjournal.pone.0194527,https://dx.doi.org/10.1371%2Fjournal.pone.0194527,,,,,,,,,,,,,,,,,,,,,
Myotis bechsteinii,Vespertilionidae,Europe,Germany,Gloza-Rausch 2008 EID https://dx.doi.org/10.3201%2Feid1404.071439,https://dx.doi.org/10.3201%2Feid1404.071439,,,,,,,,,,,,,,,,,,,,,
Myotis dasycneme,Vespertilionidae,Europe,Germany,Gloza-Rausch 2008 EID https://dx.doi.org/10.3201%2Feid1404.071439,https://dx.doi.org/10.3201%2Feid1404.071439,,,,,,,,,,,,,,,,,,,,,
Myotis daubentonii,Vespertilionidae,Europe,Germany,Gloza-Rausch 2008 EID https://dx.doi.org/10.3201%2Feid1404.071439,https://dx.doi.org/10.3201%2Feid1404.071439,,,,,,,,,,,,,,,,,,,,,
Pipistrellus nathusii,Vespertilionidae,Europe,Germany,Gloza-Rausch 2008 EID https://dx.doi.org/10.3201%2Feid1404.071439,https://dx.doi.org/10.3201%2Feid1404.071439,,,,,,,,,,,,,,,,,,,,,
Pipistrellus pygmaeus,Vespertilionidae,Europe,Germany,Gloza-Rausch 2008 EID https://dx.doi.org/10.3201%2Feid1404.071439,https://dx.doi.org/10.3201%2Feid1404.071439,,,,,,,,,,,,,,,,,,,,,
Molossus molossus,Molossidae,America,"Brazil, Mexico",Goes 2013 EID http://dx.doi.org/10.3201/eid1910.130525,http://dx.doi.org/10.3201/eid1910.130525,,,,,,,,,,,,,,,,,,,,,
Molossus rufus,Molossidae,America,"Brazil, Mexico",Goes 2013 EID http://dx.doi.org/10.3201/eid1910.130525,http://dx.doi.org/10.3201/eid1910.130525,,,,,,,,,,,,,,,,,,,,,
Pteronotus davyi,Mormoopidae,America,Mexico,Goes 2013 EID http://dx.doi.org/10.3201/eid1910.130525,http://dx.doi.org/10.3201/eid1910.130525,,,,,,,,,,,,,,,,,,,,,
Eumops glaucinus,Molossidae,America,Brazil,Goes 2016 IGE https://doi.org/10.1016/j.meegid.2016.07.034,https://doi.org/10.1016/j.meegid.2016.07.034,,,,,,,,,,,,,,,,,,,,,
Molossus rufus,Molossidae,America,Brazil,Goes 2016 IGE https://doi.org/10.1016/j.meegid.2016.07.034,https://doi.org/10.1016/j.meegid.2016.07.034,,,,,,,,,,,,,,,,,,,,,
Artibeus lituratus,Phyllostomidae,America,Brazil,Goes 2016 IGE https://doi.org/10.1016/j.meegid.2016.07.034,https://doi.org/10.1016/j.meegid.2016.07.034,,,,,,,,,,,,,,,,,,,,,
Carollia perspicillata,Phyllostomidae,America,Brazil,Goes 2016 IGE https://doi.org/10.1016/j.meegid.2016.07.034,https://doi.org/10.1016/j.meegid.2016.07.034,,,,,,,,,,,,,,,,,,,,,
Glossophaga soricina,Phyllostomidae,America,Brazil,Goes 2016 IGE https://doi.org/10.1016/j.meegid.2016.07.034,https://doi.org/10.1016/j.meegid.2016.07.034,,,,,,,,,,,,,,,,,,,,,
Sturnira lilium,Phyllostomidae,America,Brazil,Goes 2016 IGE https://doi.org/10.1016/j.meegid.2016.07.034,https://doi.org/10.1016/j.meegid.2016.07.034,,,,,,,,,,,,,,,,,,,,,
Myotis nigricans,Vespertilionidae,America,Brazil,Goes 2016 IGE https://doi.org/10.1016/j.meegid.2016.07.034,https://doi.org/10.1016/j.meegid.2016.07.034,,,,,,,,,,,,,,,,,,,,,
Myotis riparius,Vespertilionidae,America,Brazil,Goes 2016 IGE https://doi.org/10.1016/j.meegid.2016.07.034,https://doi.org/10.1016/j.meegid.2016.07.034,,,,,,,,,,,,,,,,,,,,,
Pipistrellus pipistrellus,Vespertilionidae,Europe,France,Goffard 2015 Viruses https://doi.org/10.3390/v7122937,https://doi.org/10.3390/v7122937,,,,,,,,,,,,,,,,,,,,,
Rhinolophus affinis,Rhinolophidae,Asia,China,Guo 2021 bioRxiv https://doi.org/10.1101/2021.05.21.445091,https://doi.org/10.1101/2021.05.21.445091,,,,,,,,,,,,,,,,,,,,,
Rhinolophus stheno,Rhinolophidae,Asia,China,Guo 2021 bioRxiv https://doi.org/10.1101/2021.05.21.445091,https://doi.org/10.1101/2021.05.21.445091,,,,,,,,,,,,,,,,,,,,,
Mystacina tuberculata,Mystacinidae,Oceania,New Zealand,Hall 2014 EID https://dx.doi.org/10.3201/eid2004.131441,https://dx.doi.org/10.3201/eid2004.131441,,,,,,,,,,,,,,,,,,,,,
Eptesicus fuscus,Vespertilionidae,America,USA,Hall 2020 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.13949,https://doi.org/10.1111/tbed.13949,,,,,,,,,,,,,,,,,,,,,
Rhinolophus pusillus,Rhinolophidae,Asia,China,Han 2017 ZPH https://doi.org/10.1111/zph.12358,https://doi.org/10.1111/zph.12358,,,,,,,,,,,,,,,,,,,,,
Eptesicus serotinus,Vespertilionidae,Asia,China,Han 2017 ZPH https://doi.org/10.1111/zph.12358,https://doi.org/10.1111/zph.12358,,,,,,,,,,,,,,,,,,,,,
Myotis fimbriatus,Vespertilionidae,Asia,China,Han 2017 ZPH https://doi.org/10.1111/zph.12358,https://doi.org/10.1111/zph.12358,,,,,,,,,,,,,,,,,,,,,
Myotis pequinius,Vespertilionidae,Asia,China,Han 2017 ZPH https://doi.org/10.1111/zph.12358,https://doi.org/10.1111/zph.12358,,,,,,,,,,,,,,,,,,,,,
Myotis ricketti,Vespertilionidae,Asia,China,Han 2017 ZPH https://doi.org/10.1111/zph.12358,https://doi.org/10.1111/zph.12358,,,,,,,,,,,,,,,,,,,,,
Cynopterus sphinx,Pteropodidae,Asia,China,Han 2019 Frontiers in Microbiology https://www.frontiersin.org/articles/10.3389/fmicb.2019.01900/full,https://www.frontiersin.org/articles/10.3389/fmicb.2019.01900/full,,,,,,,,,,,,,,,,,,,,,
Rhinolophus sinicus,Rhinolophidae,Asia,China,Han 2019 Frontiers in Microbiology https://www.frontiersin.org/articles/10.3389/fmicb.2019.01900/full,https://www.frontiersin.org/articles/10.3389/fmicb.2019.01900/full,,,,,,,,,,,,,,,,,,,,,
Scotophilus kuhlii,Vespertilionidae,Asia,China,Han 2019 Frontiers in Microbiology https://www.frontiersin.org/articles/10.3389/fmicb.2019.01900/full,https://www.frontiersin.org/articles/10.3389/fmicb.2019.01900/full,,,,,,,,,,,,,,,,,,,,,
Myotis myotis,Vespertilionidae,Europe,Switzerland,Hardmeier 2021 PLOS ONE https://doi.org/10.1371/journal.pone.0252534,https://doi.org/10.1371/journal.pone.0252534,,,,,,,,,,,,,,,,,,,,,
Nyctalus noctula,Vespertilionidae,Europe,Switzerland,Hardmeier 2021 PLOS ONE https://doi.org/10.1371/journal.pone.0252534,https://doi.org/10.1371/journal.pone.0252534,,,,,,,,,,,,,,,,,,,,,
Pipistrellus pipistrellus,Vespertilionidae,Europe,Switzerland,Hardmeier 2021 PLOS ONE https://doi.org/10.1371/journal.pone.0252534,https://doi.org/10.1371/journal.pone.0252534,,,,,,,,,,,,,,,,,,,,,
Vespertilio murinus,Vespertilionidae,Europe,Switzerland,Hardmeier 2021 PLOS ONE https://doi.org/10.1371/journal.pone.0252534,https://doi.org/10.1371/journal.pone.0252534,,,,,,,,,,,,,,,,,,,,,
Aselliscus stoliczkanus,Hipposideridae,Asia,China,Hu 2017 PLoS Pathog https://doi.org/10.1371/journal.ppat.1006698,https://doi.org/10.1371/journal.ppat.1006698,,,,,,,,,,,,,,,,,,,,,
Rhinolophus affinis,Rhinolophidae,Asia,China,Hu 2017 PLoS Pathog https://doi.org/10.1371/journal.ppat.1006698,https://doi.org/10.1371/journal.ppat.1006698,,,,,,,,,,,,,,,,,,,,,
Rhinolophus ferrumequinum,Rhinolophidae,Asia,China,Hu 2017 PLoS Pathog https://doi.org/10.1371/journal.ppat.1006698,https://doi.org/10.1371/journal.ppat.1006698,,,,,,,,,,,,,,,,,,,,,
Rhinolophus sinicus,Rhinolophidae,Asia,China,Hu 2017 PLoS Pathog https://doi.org/10.1371/journal.ppat.1006698,https://doi.org/10.1371/journal.ppat.1006698,,,,,,,,,,,,,,,,,,,,,
Rhinolophus ferrumequinum,Rhinolophidae,Asia,China,Hu 2017 Sci Rep https://doi.org/10.1038/s41598-017-11384-w,https://doi.org/10.1038/s41598-017-11384-w,,,,,,,,,,,,,,,,,,,,,
Rhinolophus pusillus,Rhinolophidae,Asia,China,Hu 2017 Sci Rep https://doi.org/10.1038/s41598-017-11384-w,https://doi.org/10.1038/s41598-017-11384-w,,,,,,,,,,,,,,,,,,,,,
Rhinolophus sinicus,Rhinolophidae,Asia,China,Hu 2018 Emerg Microb Infect https://doi.org/10.1038/s41426-018-0155-5,https://doi.org/10.1038/s41426-018-0155-5,,,,,,,,,,,,,,,,,,,,,
Rousettus leschenaultii,Pteropodidae,Asia,China,Huang 2016 PLoS Path https://dx.doi.org/10.1371%2Fjournal.ppat.1005883,https://dx.doi.org/10.1371%2Fjournal.ppat.1005883,,,,,,,,,,,,,,,,,,,,,
Rhinolophus shameli,Rhinolophidae,Asia,Cambodia,Hul 2021 bioRxiv https://doi.org/10.1101/2021.01.26.428212,https://doi.org/10.1101/2021.01.26.428212,,,,,,,,,,,,,,,,,,,,,
Perimyotis subflavus,Vespertilionidae,America,USA,Huynh 2012 Journal of Virology https://doi.org/10.1128/JVI.00906-12,https://doi.org/10.1128/JVI.00906-12,,,,,,,,,,,,,,,,,,,,,
Neoromicia cf. zuluensis,Vespertilionidae,Africa,South Africa,Ithete 2013 Emerging Infectious Diseases https://dx.doi.org/10.3201%2Feid1910.130946,https://dx.doi.org/10.3201%2Feid1910.130946,,,,,,,,,,,,,,,,,,,,,
Myotis macropus,Vespertilionidae,Oceania,Australia,Jeong 2017 Epidemiol Infect https://doi.org/10.1017/S0950268817000991,https://doi.org/10.1017/S0950268817000991,,,,,,,,,,,,,,,,,,,,,
Hipposideros caffer,Hipposideridae,Africa,Mozambique,Joffrin 2020 Sci Rep https://doi.org/10.1038/s41598-020-63799-7,https://doi.org/10.1038/s41598-020-63799-7,,,,,,,,,,,,,,,,,,,,,
Miniopterus mossambicus,Miniopteridae,Africa,Mozambique,Joffrin 2020 Sci Rep https://doi.org/10.1038/s41598-020-63799-7,https://doi.org/10.1038/s41598-020-63799-7,,,,,,,,,,,,,,,,,,,,,
Chaerephon pumilus,Molossidae,Africa,Mayotte,Joffrin 2020 Sci Rep https://doi.org/10.1038/s41598-020-63799-7,https://doi.org/10.1038/s41598-020-63799-7,,,,,,,,,,,,,,,,,,,,,
Mops condylurus,Molossidae,Africa,Mozambique,Joffrin 2020 Sci Rep https://doi.org/10.1038/s41598-020-63799-7,https://doi.org/10.1038/s41598-020-63799-7,,,,,,,,,,,,,,,,,,,,,
Mops midas,Molossidae,Africa,Madagascar,Joffrin 2020 Sci Rep https://doi.org/10.1038/s41598-020-63799-7,https://doi.org/10.1038/s41598-020-63799-7,,,,,,,,,,,,,,,,,,,,,
Mormopterus francoismoutoui,Molossidae,Africa,Reunion,Joffrin 2020 Sci Rep https://doi.org/10.1038/s41598-020-63799-7,https://doi.org/10.1038/s41598-020-63799-7,,,,,,,,,,,,,,,,,,,,,
Mormopterus jugularis,Molossidae,Africa,Madagascar,Joffrin 2020 Sci Rep https://doi.org/10.1038/s41598-020-63799-7,https://doi.org/10.1038/s41598-020-63799-7,,,,,,,,,,,,,,,,,,,,,
Nycteris thebaica,Nycteridae,Africa,Mozambique,Joffrin 2020 Sci Rep https://doi.org/10.1038/s41598-020-63799-7,https://doi.org/10.1038/s41598-020-63799-7,,,,,,,,,,,,,,,,,,,,,
Rousettus madagascariensis,Pteropodidae,Africa,Madagascar,Joffrin 2020 Sci Rep https://doi.org/10.1038/s41598-020-63799-7,https://doi.org/10.1038/s41598-020-63799-7,,,,,,,,,,,,,,,,,,,,,
Rhinolophus lobatus,Rhinolophidae,Africa,Mozambique,Joffrin 2020 Sci Rep https://doi.org/10.1038/s41598-020-63799-7,https://doi.org/10.1038/s41598-020-63799-7,,,,,,,,,,,,,,,,,,,,,
Rhinolophus rhodesiae,Rhinolophidae,Africa,Mozambique,Joffrin 2020 Sci Rep https://doi.org/10.1038/s41598-020-63799-7,https://doi.org/10.1038/s41598-020-63799-7,,,,,,,,,,,,,,,,,,,,,
Triaenops afer,Rhinonycteridae,Africa,Mozambique,Joffrin 2020 Sci Rep https://doi.org/10.1038/s41598-020-63799-7,https://doi.org/10.1038/s41598-020-63799-7,,,,,,,,,,,,,,,,,,,,,
Triaenops menamena,Rhinonycteridae,Africa,Madagascar,Joffrin 2020 Sci Rep https://doi.org/10.1038/s41598-020-63799-7,https://doi.org/10.1038/s41598-020-63799-7,,,,,,,,,,,,,,,,,,,,,
Rhinolophus euryale,Rhinolophidae,Europe,Hungary,Kemenesi 2014 VBZD https://doi.org/10.1089/vbz.2014.1637,https://doi.org/10.1089/vbz.2014.1637,,,,,,,,,,,,,,,,,,,,,
Rhinolophus ferrumequinum,Rhinolophidae,Europe,Hungary,Kemenesi 2014 VBZD https://doi.org/10.1089/vbz.2014.1637,https://doi.org/10.1089/vbz.2014.1637,,,,,,,,,,,,,,,,,,,,,
Rhinolophus hipposideros,Rhinolophidae,Europe,Hungary,Kemenesi 2014 VBZD https://doi.org/10.1089/vbz.2014.1637,https://doi.org/10.1089/vbz.2014.1637,,,,,,,,,,,,,,,,,,,,,
Myotis daubentonii,Vespertilionidae,Europe,Hungary,Kemenesi 2014 VBZD https://doi.org/10.1089/vbz.2014.1637,https://doi.org/10.1089/vbz.2014.1637,,,,,,,,,,,,,,,,,,,,,
Myotis myotis,Vespertilionidae,Europe,Hungary,Kemenesi 2014 VBZD https://doi.org/10.1089/vbz.2014.1637,https://doi.org/10.1089/vbz.2014.1637,,,,,,,,,,,,,,,,,,,,,
Myotis nattereri,Vespertilionidae,Europe,Hungary,Kemenesi 2014 VBZD https://doi.org/10.1089/vbz.2014.1637,https://doi.org/10.1089/vbz.2014.1637,,,,,,,,,,,,,,,,,,,,,
Pipistrellus pygmaeus,Vespertilionidae,Europe,Hungary,Kemenesi 2014 VBZD https://doi.org/10.1089/vbz.2014.1637,https://doi.org/10.1089/vbz.2014.1637,,,,,,,,,,,,,,,,,,,,,
Hipposideros ruber,Hipposideridae,Africa,Nigeria,Kia 2021 American Journal of Tropical Medicine and Hygiene https://doi.org/10.4269/ajtmh.19-0872,https://doi.org/10.4269/ajtmh.19-0872,,,,,,,,,,,,,,,,,,,,,
Epomophorus gambianus,Pteropodidae,Africa,Nigeria,Kia 2021 American Journal of Tropical Medicine and Hygiene https://doi.org/10.4269/ajtmh.19-0872,https://doi.org/10.4269/ajtmh.19-0872,,,,,,,,,,,,,,,,,,,,,
Miniopterus schreibersii,Miniopteridae,Asia,South Korea,Kim 2016 TED https://doi.org/10.1111/tbed.12515,https://doi.org/10.1111/tbed.12515,,,,,,,,,,,,,,,,,,,,,
Rhinolophus ferrumequinum,Rhinolophidae,Asia,South Korea,Kim 2016 TED https://doi.org/10.1111/tbed.12515,https://doi.org/10.1111/tbed.12515,,,,,,,,,,,,,,,,,,,,,
Eptesicus nilssonii,Vespertilionidae,Europe,Finland,Kivisto 2019 VBZD https://doi.org/10.1089/vbz.2018.2367,https://doi.org/10.1089/vbz.2018.2367,,,,,,,,,,,,,,,,,,,,,
Myotis brandtii,Vespertilionidae,Europe,Finland,Kivisto 2019 VBZD https://doi.org/10.1089/vbz.2018.2367,https://doi.org/10.1089/vbz.2018.2367,,,,,,,,,,,,,,,,,,,,,
Myotis daubentonii,Vespertilionidae,Europe,Finland,Kivisto 2019 VBZD https://doi.org/10.1089/vbz.2018.2367,https://doi.org/10.1089/vbz.2018.2367,,,,,,,,,,,,,,,,,,,,,
Pipistrellus pipistrellus,Vespertilionidae,Europe,Germany,Kohl 2021 Scientific Reports https://doi.org/10.1038/s41598-021-86435-4,https://doi.org/10.1038/s41598-021-86435-4,,,,,,,,,,,,,,,,,,,,,
Pteropus medius,Pteropodidae,Asia,Sri Lanka,Kudagammana 2018 TED https://doi.org/10.1111/tbed.12851,https://doi.org/10.1111/tbed.12851,,,,,,,,,,,,,,,,,,,,,
Hipposideros caffer,Hipposideridae,Africa,"Democratic Republic of the Congo, Republic of the Congo",Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971,https://doi.org/10.1371/journal.pone.0236971,,,,,,,,,,,,,,,,,,,,,
Hipposideros gigas,Hipposideridae,Africa,"Democratic Republic of the Congo, Republic of the Congo",Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971,https://doi.org/10.1371/journal.pone.0236971,,,,,,,,,,,,,,,,,,,,,
Hipposideros ruber,Hipposideridae,Africa,"Democratic Republic of the Congo, Republic of the Congo",Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971,https://doi.org/10.1371/journal.pone.0236971,,,,,,,,,,,,,,,,,,,,,
Miniopterus inflatus,Miniopteridae,Africa,"Democratic Republic of the Congo, Republic of the Congo",Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971,https://doi.org/10.1371/journal.pone.0236971,,,,,,,,,,,,,,,,,,,,,
Chaerephon pumilus,Molossidae,Africa,"Democratic Republic of the Congo, Republic of the Congo",Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971,https://doi.org/10.1371/journal.pone.0236971,,,,,,,,,,,,,,,,,,,,,
Mops condylurus,Molossidae,Africa,"Democratic Republic of the Congo, Republic of the Congo",Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971,https://doi.org/10.1371/journal.pone.0236971,,,,,,,,,,,,,,,,,,,,,
Eidolon helvum,Pteropodidae,Africa,"Democratic Republic of the Congo, Republic of the Congo",Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971,https://doi.org/10.1371/journal.pone.0236971,,,,,,,,,,,,,,,,,,,,,
Epomops franqueti,Pteropodidae,Africa,"Democratic Republic of the Congo, Republic of the Congo",Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971,https://doi.org/10.1371/journal.pone.0236971,,,,,,,,,,,,,,,,,,,,,
Megaloglossus woermanni,Pteropodidae,Africa,"Democratic Republic of the Congo, Republic of the Congo",Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971,https://doi.org/10.1371/journal.pone.0236971,,,,,,,,,,,,,,,,,,,,,
