Bat species,Number of samples,Bat family,Continent,Country,Reference
Rhynchonycteris naso,4,Emballonuridae,America,"Brazil, Mexico","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Saccolaimus saccolaimus,7,Emballonuridae,Asia,Bangladesh,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Saccopteryx bilineata,5,Emballonuridae,America,"Brazil, Mexico","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Saccopteryx canescens,1,Emballonuridae,America,Brazil,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Saccopteryx gymnura,1,Emballonuridae,America,Brazil,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Saccopteryx leptura,1,Emballonuridae,America,Brazil,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Taphozous longimanus,45,Emballonuridae,Asia,"Cambodia, Thailand, Bangladesh","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Taphozous mauritianus,17,Emballonuridae,Africa,"Cameroon, DR Congo, Tanzania","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Taphozous melanopogon,437,Emballonuridae,Asia,"Bangladesh, Cambodia, China, Thailand","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Taphozous perforatus,10,Emballonuridae,Africa,Egypt,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Taphozous theobaldi,3,Emballonuridae,Asia,"Lao PDR, Thailand","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Aselliscus stoliczkanus,374,Hipposideridae,Asia,"China, Lao PDR","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Coelops frithii,4,Hipposideridae,Asia,China,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Hipposideros abae,6,Hipposideridae,Africa,Sierra Leone,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Hipposideros armiger,372,Hipposideridae,Asia,"China, Lao PDR, Myanmar, Thailand","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Hipposideros beatus,3,Hipposideridae,Africa,"Cameroon, Republic of Congo","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Hipposideros bicolor,20,Hipposideridae,Asia,Malaysia,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Hipposideros caffer,1219,Hipposideridae,Africa,"Cameroon, DR Congo, Gabon, Ivory Coast, Republic of Congo, Rwanda, Senegal, Tanzania","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Hipposideros cervinus,144,Hipposideridae,Asia,Malaysia,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Hipposideros cineraceus,170,Hipposideridae,Asia,"Bangladesh, China, Malaysia, Thailand","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Hipposideros curtus,21,Hipposideridae,Africa,Cameroon,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Hipposideros cyclops,88,Hipposideridae,Africa,"Cameroon, Ivory Coast, Republic of Congo, Guinea","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Hipposideros diadema,148,Hipposideridae,Asia,Malaysia,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Hipposideros dyacorum,3,Hipposideridae,Asia,Malaysia,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Hipposideros fuliginosus,8,Hipposideridae,Africa,"Cameroon, Liberia","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Hipposideros galeritus,411,Hipposideridae,Asia,"Cambodia, Malaysia","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Hipposideros jonesi,90,Hipposideridae,Africa,"Guinea, Sierra Leone","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Hipposideros larvatus,766,Hipposideridae,Asia,"Bangladesh, China, Lao PDR, Malaysia, Myanmar, Thailand","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Hipposideros lekaguli,101,Hipposideridae,Asia,Thailand,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Hipposideros lylei,1,Hipposideridae,Asia,"Lao PDR, Thailand","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Hipposideros pomona,168,Hipposideridae,Asia,"Cambodia, China, Malaysia","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Hipposideros pratti,89,Hipposideridae,Asia,China,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Hipposideros ridleyi,2,Hipposideridae,Asia,Malaysia,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Hipposideros ruber,7277,Hipposideridae,Africa,"Cameroon, DR Congo, Guinea, Liberia, Republic of Congo, Rwanda, Senegal, Sierra Leone, Uganda","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Hipposideros scutinares,1,Hipposideridae,Asia,Lao PDR,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Macronycteris gigas,741,Hipposideridae,Africa,"Cameroon, Gabon, Guinea, Ivory Coast, Republic of Congo, South Sudan","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Cardioderma cor,4,Megadermatidae,Africa,Kenya,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Lavia frons,4,Megadermatidae,Africa,"Cameroon, Rwanda","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Lyroderma lyra,732,Megadermatidae,Asia,"Bangladesh, Cambodia, China, India, Malaysia, Thailand","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Megaderma spasma,22,Megadermatidae,Asia,"Cambodia, Lao PDR, Malaysia","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
