Bat species,Number of samples,Bat family,Continent,Country,Reference
Nyctalus noctula,54,Vespertilionidae,Asia,China,Lau 2013 J Virol https://doi.org/10.1128/JVI.01055-13
Pipistrellus abramus,219,Vespertilionidae,Asia,China,Lau 2013 J Virol https://doi.org/10.1128/JVI.01055-13
Pipistrellus tenuis,11,Vespertilionidae,Asia,China,Lau 2013 J Virol https://doi.org/10.1128/JVI.01055-13
Scotophilus kuhlii,18,Vespertilionidae,Asia,China,Lau 2013 J Virol https://doi.org/10.1128/JVI.01055-13
Tylonycteris pachypus,115,Vespertilionidae,Asia,China,Lau 2013 J Virol https://doi.org/10.1128/JVI.01055-13
Tylonycteris robustula,1,Vespertilionidae,Asia,China,Lau 2013 J Virol https://doi.org/10.1128/JVI.01055-13
Hipposideros pomona,17,Hipposideridae,Asia,China,Lau 2015 Journal of Virology https://doi.org/10.1128/JVI.01048-15
Rousettus leschenaultii,115,Pteropodidae,Asia,China,Lau 2015 Journal of Virology https://doi.org/10.1128/JVI.01048-15
Rhinolophus affinis,22,Rhinolophidae,Asia,China,Lau 2015 Journal of Virology https://doi.org/10.1128/JVI.01048-15
Rhinolophus ferrumequinum,11,Rhinolophidae,Asia,China,Lau 2015 Journal of Virology https://doi.org/10.1128/JVI.01048-15
Rhinolophus luctus,32,Rhinolophidae,Asia,China,Lau 2015 Journal of Virology https://doi.org/10.1128/JVI.01048-15
Rhinolophus stheno,34,Rhinolophidae,Asia,China,Lau 2015 Journal of Virology https://doi.org/10.1128/JVI.01048-15
Myotis daubentonii,98,Vespertilionidae,Asia,China,Lau 2015 Journal of Virology https://doi.org/10.1128/JVI.01048-15
Taphozous melanopogon,25,Emballonuridae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Aselliscus stoliczkanus,48,Hipposideridae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Coelops frithii,9,Hipposideridae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Hipposideros armiger,124,Hipposideridae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Hipposideros larvatus,140,Hipposideridae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Hipposideros pomona,26,Hipposideridae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Hipposideros pratti,19,Hipposideridae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Megaderma lyra,1,Megadermatidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Miniopterus fuliginosus,90,Miniopteridae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Miniopterus pusillus,22,Miniopteridae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Cynopterus sphinx,102,Pteropodidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Eonycteris spelaea,6,Pteropodidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Megaerops ecaudatus,1,Pteropodidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Rousettus leschenaultii,49,Pteropodidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Rhinolophus affinis,79,Rhinolophidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Rhinolophus ferrumequinum,86,Rhinolophidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Rhinolophus luctus,4,Rhinolophidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Rhinolophus macrotis,18,Rhinolophidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Rhinolophus pearsonii,24,Rhinolophidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Rhinolophus pusillus,119,Rhinolophidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Rhinolophus rex,2,Rhinolophidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Rhinolophus siamensis,3,Rhinolophidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Rhinolophus sinicus,106,Rhinolophidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Rhinolophus thomasi,1,Rhinolophidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Hypsugo pulveratus,14,Vespertilionidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Ia io,20,Vespertilionidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Myotis adversus,4,Vespertilionidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Myotis altarium,15,Vespertilionidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Myotis chinensis,78,Vespertilionidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Myotis fimbriatus,6,Vespertilionidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Myotis formosus,1,Vespertilionidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Myotis longipes,5,Vespertilionidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Myotis pequinius,29,Vespertilionidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Myotis ricketti,93,Vespertilionidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Nyctalus plancyi,1,Vespertilionidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Pipistrellus abramus,73,Vespertilionidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Pipistrellus minus,3,Vespertilionidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Pipistrellus pipistrellus,5,Vespertilionidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Scotophilus kuhlii,201,Vespertilionidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Tylonycteris pachypus,184,Vespertilionidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Tylonycteris robustula,104,Vespertilionidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018
Taphozous melanopogon,25,Emballonuridae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Aselliscus stoliczkanus,48,Hipposideridae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Coelops frithii,9,Hipposideridae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Hipposideros armiger,365,Hipposideridae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Hipposideros larvatus,142,Hipposideridae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Hipposideros pomona,1001,Hipposideridae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Hipposideros pratti,19,Hipposideridae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Megaderma lyra,1,Megadermatidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Miniopterus fuliginosus,90,Miniopteridae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Miniopterus magnater,29,Miniopteridae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Miniopterus pusillus,541,Miniopteridae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Miniopterus schreibersii,1016,Miniopteridae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Cynopterus sphinx,130,Pteropodidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Eonycteris spelaea,6,Pteropodidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Megaerops ecaudatus,1,Pteropodidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Rousettus leschenaultii,741,Pteropodidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Rhinolophus affinis,670,Rhinolophidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Rhinolophus ferrumequinum,97,Rhinolophidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Rhinolophus luctus,63,Rhinolophidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Rhinolophus macrotis,18,Rhinolophidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Rhinolophus osgoodi,1,Rhinolophidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Rhinolophus pearsonii,24,Rhinolophidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Rhinolophus pusillus,419,Rhinolophidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Rhinolophus rex,2,Rhinolophidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Rhinolophus siamensis,3,Rhinolophidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Rhinolophus sinicus,2430,Rhinolophidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Rhinolophus stheno,34,Rhinolophidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Rhinolophus thomasi,1,Rhinolophidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Hypsugo pulveratus,11,Vespertilionidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Ia io,20,Vespertilionidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Myotis adversus,4,Vespertilionidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Myotis altarium,15,Vespertilionidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Myotis chinensis,224,Vespertilionidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Myotis daubentonii,98,Vespertilionidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Myotis fimbriatus,6,Vespertilionidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Myotis formosus,1,Vespertilionidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Myotis horsfieldii,7,Vespertilionidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Myotis longipes,5,Vespertilionidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Myotis muricola,4,Vespertilionidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Myotis pequinius,29,Vespertilionidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Myotis ricketti,451,Vespertilionidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Nyctalus noctula,56,Vespertilionidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Nyctalus plancyi,1,Vespertilionidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Pipistrellus abramus,306,Vespertilionidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Pipistrellus minus,3,Vespertilionidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Pipistrellus pipistrellus,6,Vespertilionidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Pipistrellus tenuis,11,Vespertilionidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Scotophilus kuhlii,220,Vespertilionidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Tylonycteris pachypus,314,Vespertilionidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Tylonycteris robustula,105,Vespertilionidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm
Taphozous melanopogon,119,Emballonuridae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Aselliscus stoliczkanus,55,Hipposideridae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Hipposideros armiger,219,Hipposideridae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Hipposideros larvatus,48,Hipposideridae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Hipposideros pomona,774,Hipposideridae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Hipposideros pratti,19,Hipposideridae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Megaderma lyra,1,Megadermatidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Miniopterus fuliginosus,30,Miniopteridae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Miniopterus magnater,17,Miniopteridae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Miniopterus pusillus,273,Miniopteridae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Miniopterus schreibersii,492,Miniopteridae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Chaerephon plicatus,31,Molossidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Cynopterus sphinx,86,Pteropodidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Eonycteris spelaea,53,Pteropodidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Megaerops ecaudatus,1,Pteropodidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Rousettus leschenaultii,70,Pteropodidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Rhinolophus affinis,263,Rhinolophidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Rhinolophus ferrumequinum,86,Rhinolophidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Rhinolophus luctus,4,Rhinolophidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Rhinolophus macrotis,24,Rhinolophidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Rhinolophus pearsonii,29,Rhinolophidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Rhinolophus pusillus,206,Rhinolophidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Rhinolophus rex,4,Rhinolophidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Rhinolophus siamensis,1,Rhinolophidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Rhinolophus sinicus,1004,Rhinolophidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Rhinolophus thomasi,1,Rhinolophidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Hypsugo pulveratus,6,Vespertilionidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Ia io,26,Vespertilionidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Kerivoula picta,1,Vespertilionidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Myotis altarium,14,Vespertilionidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Myotis chinensis,123,Vespertilionidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Myotis daubentonii,5,Vespertilionidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Myotis davidii,2,Vespertilionidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Myotis fimbriatus,6,Vespertilionidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Myotis formosus,1,Vespertilionidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Myotis horsfieldii,19,Vespertilionidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Myotis longipes,4,Vespertilionidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Myotis pequinius,29,Vespertilionidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Myotis ricketti,483,Vespertilionidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Myotis siligorensis,3,Vespertilionidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Nyctalus noctula,14,Vespertilionidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Nyctalus plancyi,2,Vespertilionidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Pipistrellus abramus,102,Vespertilionidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Pipistrellus ceylonicus,1,Vespertilionidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Pipistrellus tenuis,4,Vespertilionidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Scotophilus kuhlii,37,Vespertilionidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Tylonycteris pachypus,1044,Vespertilionidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Tylonycteris robustula,196,Vespertilionidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9
Eptesicus serotinus,4,Vespertilionidae,Europe,Denmark,Lazov 2018 Viruses https://doi.org/10.3390/v10090486
Myotis bechsteinii,11,Vespertilionidae,Europe,Denmark,Lazov 2018 Viruses https://doi.org/10.3390/v10090486
Myotis brandtii,3,Vespertilionidae,Europe,Denmark,Lazov 2018 Viruses https://doi.org/10.3390/v10090486
Myotis dasycneme,19,Vespertilionidae,Europe,Denmark,Lazov 2018 Viruses https://doi.org/10.3390/v10090486
Myotis daubentonii,187,Vespertilionidae,Europe,Denmark,Lazov 2018 Viruses https://doi.org/10.3390/v10090486
Myotis mystacinus,2,Vespertilionidae,Europe,Denmark,Lazov 2018 Viruses https://doi.org/10.3390/v10090486
Myotis nattereri,11,Vespertilionidae,Europe,Denmark,Lazov 2018 Viruses https://doi.org/10.3390/v10090486
Nyctalus noctula,4,Vespertilionidae,Europe,Denmark,Lazov 2018 Viruses https://doi.org/10.3390/v10090486
Pipistrellus pygmaeus,28,Vespertilionidae,Europe,Denmark,Lazov 2018 Viruses https://doi.org/10.3390/v10090486
Plecotus auritus,2,Vespertilionidae,Europe,Denmark,Lazov 2018 Viruses https://doi.org/10.3390/v10090486
Myotis dasycneme,1,Vespertilionidae,Europe,Denmark,Lazov 2021 Viruses https://doi.org/10.3390/v13061073
Myotis daubentonii,4,Vespertilionidae,Europe,Denmark,Lazov 2021 Viruses https://doi.org/10.3390/v13061073
Pipistrellus pygmaeus,2,Vespertilionidae,Europe,Denmark,Lazov 2021 Viruses https://doi.org/10.3390/v13061073
Miniopterus schreibersii,16,Miniopteridae,Europe,Italy,Lecis 2018 Virus Genes https://doi.org/10.1007/s11262-018-1614-8
Tadarida teniotis,3,Molossidae,Europe,Italy,Lecis 2018 Virus Genes https://doi.org/10.1007/s11262-018-1614-8
Rhinolophus ferrumequinum,9,Rhinolophidae,Europe,Italy,Lecis 2018 Virus Genes https://doi.org/10.1007/s11262-018-1614-8
Rhinolophus mehelyi,4,Rhinolophidae,Europe,Italy,Lecis 2018 Virus Genes https://doi.org/10.1007/s11262-018-1614-8
Eptesicus serotinus,1,Vespertilionidae,Europe,Italy,Lecis 2018 Virus Genes https://doi.org/10.1007/s11262-018-1614-8
Hypsugo savii,2,Vespertilionidae,Europe,Italy,Lecis 2018 Virus Genes https://doi.org/10.1007/s11262-018-1614-8
Myotis capaccinii,10,Vespertilionidae,Europe,Italy,Lecis 2018 Virus Genes https://doi.org/10.1007/s11262-018-1614-8
Myotis emarginatus,7,Vespertilionidae,Europe,Italy,Lecis 2018 Virus Genes https://doi.org/10.1007/s11262-018-1614-8
Myotis punicus,22,Vespertilionidae,Europe,Italy,Lecis 2018 Virus Genes https://doi.org/10.1007/s11262-018-1614-8
Nyctalus leisleri,2,Vespertilionidae,Europe,Italy,Lecis 2018 Virus Genes https://doi.org/10.1007/s11262-018-1614-8
Pipistrellus kuhlii,1,Vespertilionidae,Europe,Italy,Lecis 2018 Virus Genes https://doi.org/10.1007/s11262-018-1614-8
Pipistrellus pipistrellus,2,Vespertilionidae,Europe,Italy,Lecis 2018 Virus Genes https://doi.org/10.1007/s11262-018-1614-8
Plecotus auritus,3,Vespertilionidae,Europe,Italy,Lecis 2018 Virus Genes https://doi.org/10.1007/s11262-018-1614-8
Plecotus austriacus,1,Vespertilionidae,Europe,Italy,Lecis 2018 Virus Genes https://doi.org/10.1007/s11262-018-1614-8
Plecotus sardus,1,Vespertilionidae,Europe,Italy,Lecis 2018 Virus Genes https://doi.org/10.1007/s11262-018-1614-8
Miniopterus schreibersii,156,Miniopteridae,Asia,South Korea,Lee 2017 Microbial Ecology https://doi.org/10.1007/s00248-017-1033-8
Rhinolophus ferrumequinum,196,Rhinolophidae,Asia,South Korea,Lee 2017 Microbial Ecology https://doi.org/10.1007/s00248-017-1033-8
Eptesicus serotinus,176,Vespertilionidae,Asia,South Korea,Lee 2017 Microbial Ecology https://doi.org/10.1007/s00248-017-1033-8
Murina leucogaster,17,Vespertilionidae,Asia,South Korea,Lee 2017 Microbial Ecology https://doi.org/10.1007/s00248-017-1033-8
Myotis aurascens,11,Vespertilionidae,Asia,South Korea,Lee 2017 Microbial Ecology https://doi.org/10.1007/s00248-017-1033-8
Myotis formosus chofukusei,17,Vespertilionidae,Asia,South Korea,Lee 2017 Microbial Ecology https://doi.org/10.1007/s00248-017-1033-8
Myotis ikonnikovi,17,Vespertilionidae,Asia,South Korea,Lee 2017 Microbial Ecology https://doi.org/10.1007/s00248-017-1033-8
Myotis macrodactylus,17,Vespertilionidae,Asia,South Korea,Lee 2017 Microbial Ecology https://doi.org/10.1007/s00248-017-1033-8
Myotis nattereri,30,Vespertilionidae,Asia,South Korea,Lee 2017 Microbial Ecology https://doi.org/10.1007/s00248-017-1033-8
Myotis petax,5,Vespertilionidae,Asia,South Korea,Lee 2017 Microbial Ecology https://doi.org/10.1007/s00248-017-1033-8
Pipistrellus abramus,30,Vespertilionidae,Asia,South Korea,Lee 2017 Microbial Ecology https://doi.org/10.1007/s00248-017-1033-8
Vespertilio sinensis,Not reported,Vespertilionidae,Asia,South Korea,Lee 2017 Microbial Ecology https://doi.org/10.1007/s00248-017-1033-8
Miniopterus fuliginosus,281,Miniopteridae,Asia,South Korea,Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324
Miniopterus schreibersii,225,Miniopteridae,Asia,South Korea,Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324
Rhinolophus ferrumequinum,244,Rhinolophidae,Asia,South Korea,Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324
Eptesicus serotinus,362,Vespertilionidae,Asia,South Korea,Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324
Hypsugo alaschanicus,57,Vespertilionidae,Asia,South Korea,Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324
Murina hilgendorfi,Not reported,Vespertilionidae,Asia,South Korea,Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324
Murina ussuriensis,Not reported,Vespertilionidae,Asia,South Korea,Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324
Myotis aurascens,46,Vespertilionidae,Asia,South Korea,Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324
Myotis bombinus,Not reported,Vespertilionidae,Asia,South Korea,Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324
Myotis formosus,Not reported,Vespertilionidae,Asia,South Korea,Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324
Myotis ikonnikovi,64,Vespertilionidae,Asia,South Korea,Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324
Myotis macrodactylus,59,Vespertilionidae,Asia,South Korea,Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324
Myotis petax,53,Vespertilionidae,Asia,South Korea,Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324
Myotis rufoniger,Not reported,Vespertilionidae,Asia,South Korea,Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324
Pipistrellus abramus,171,Vespertilionidae,Asia,South Korea,Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324
Plecotus ognevi,Not reported,Vespertilionidae,Asia,South Korea,Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324
